complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
aeon.remission	constitution, key, compression	a mode is released only if it lies in the relevance kernel of every admitted future receiver; otherwise it is dormant (silent at present receivers) with its lock's cost changed by deposition	recovery from an addiction is remission: a receiver statement over an aeon, compatible with a key fitting again	admitted future receiver family	N:2026-09-24_THE_NULL_CONE_IS_THE_CONSTITUTIONS_LOCK_AND_CLOSURE_IS_A_RECEIVER_READING.md	interpretation	uses:compression.kernel
compression.face-map-kernel	compression, navigator, receiver	F x (ρ, w) = ρ(T_w x),  F : X → (Receiver × Navigator* → V);  ker F = futureCollapsed(ρ, T);  F x = causalSignature x	the face map of a navigator family against terrain and a receiver family has exactly the relevance kernel: the kernel of a product map is the meet of its components' kernels	linear navigators and receivers over a field	L:Compression/Core/FaceMap:faceMap; L:Compression/Core/FaceMap:ker_faceMap_eq_relevanceKernel; L:Compression/Core/FaceMap:causalSignature_eq_faceMap; R:holonics::compression::FaceMap; R:holonics::compression::FaceMap::kernel	proved-standard	equiv:compression.kernel, uses:compression.joint-kernel
compression.kernel-quotient-coarsest-retention	compression, receiver, receipt	∃ StandingLaw with retain = mkQ(ker F);  any StandingLaw retain r: r x = r y ⇒ [x] = [y];  [x] = [y] ⇔ futureAgreement(x, y)	quotienting by the face map's kernel is future-sufficient retention and the coarsest one, among all retention maps, linear or not	linear navigators and receivers over a field	L:Compression/Core/FaceMap:kernelQuotient_is_coarsest_retention; L:Compression/Core/FaceMap:kernelQuotient_eq_iff_futureAgreement; R:holonics::compression::FaceMap::quotient; R:holonics::compression::Retention::standing	formal-checked	uses:compression.retention-quotient, uses:compression.face-map-kernel
compression.retention-carries-navigator	compression, navigator, receiver	T_g(ker F) ⊆ ker F;  T̄_g = mapQ T_g on X/ker F;  [T_w x] = T̄_w [x];  X/ker F is a ReceiverQuotient of (Receiver × Navigator*)	every navigator descends to the retained kernel quotient, so the navigator runs on retention with every future face factoring through it	linear navigators and receivers over a field	L:Compression/Core/FaceMap:ker_faceMap_invariant; L:Compression/Core/FaceMap:descendedNavigator; L:Compression/Core/FaceMap:kernelHistoryCompression; L:Compression/Core/FaceMap:kernelClass_after_word; L:Compression/Core/FaceMap:kernelReceiverQuotient; R:holonics::compression::Retention; R:holonics::compression::Retention::transport_word	formal-checked	uses:compression.history-compression, uses:compression.face-map-kernel
compression.redundant-mode-kernel	compression, navigator	F extra = Σ r_i F m_i ⇒ extra − Σ r_i m_i ∈ ker F  and  F(Σ c_i m_i + a·extra) = F(Σ (c_i + a r_i) m_i)	a mode dependent at the future receiver differs from its elimination by a kernel element; eliminating it changes no future face	linear face map; the elimination form over ℝ	L:Compression/Core/FaceMap:redundant_mode_in_kernel; L:Compression/Core/FaceMap:eliminated_mode_same_future	formal-checked	uses:compression.eliminate-redundant-mode, uses:compression.face-map-kernel
compression.finite-horizon-kernel	compression, navigator, receiver	H₀ = ⋂_ρ ker ρ,  H_(n+1) = H₀ ∩ ⋂_g T_g⁻¹ H_n = {x : ρ(T_w x) = 0 ∀ρ, |w| ≤ n+1};  H_m = H_(m+1) ⇒ ker F = H_m = H_(m+j) ∀j;  dim X < ∞ ⇒ ∃ m ≤ dim X − 1 with H_m = H_(m+1), so n ≥ dim X − 1 ⇒ H_n = ker F = ker F_n;  shift (a,b,c) ↦ (b,c,0) read at a: (0,0,1) ∈ H_1 ∖ ker F	words of length at most dim X − 1 read the whole relevance kernel for any family of noncommuting navigators, and that bound is attained: finitely many admitted observations suffice for retention	finite-dimensional terrain over a field; any receiver and navigator families	L:Compression/Core/FaceMap:mem_horizonBlind_iff; L:Compression/Core/FaceMap:horizonBlind_stable_forever; L:Compression/Core/FaceMap:ker_faceMap_eq_of_stable; L:Compression/Core/FaceMap:exists_stable_le_finrank_pred; L:Compression/Core/FaceMap:horizonBlind_eq_ker_of_le; L:Compression/Core/FaceMap:horizonBlind_finrank_pred_eq_ker; L:Compression/Core/FaceMap:ker_horizonFaceMap_finrank_pred_eq_relevanceKernel; L:Compression/Core/FaceMap:Shift.horizon_sharp; R:holonics::compression::FaceMap::blind; R:holonics::compression::FaceMap::stable_at	formal-checked	generalizes:globe.observability-kernel, uses:compression.face-map-kernel
compression.rank-cokernel-ledger	compression, navigator, receiver	rank F_N + dim ker F_N = dim X;  dim faces = #(Receiver × words≤N) · dim V;  dim coker F_N = dim faces − rank F_N	the finite face map keeps an exact dimension ledger between what is retained, what is reached and the residual it cannot reach	finite receivers and navigators, finite-dimensional X and V over a field; the cokernel is relative to the horizon N and the declared request set	L:Compression/Core/FaceMap:horizonFaceMap; L:Compression/Core/FaceMap:rank_nullity_ledger; L:Compression/Core/FaceMap:finrank_faces; L:Compression/Core/FaceMap:cokernel_ledger; R:holonics::compression::FiniteFaceMap::ledger	formal-checked	uses:compression.cokernel, uses:compression.finite-horizon-kernel
compression.exact-sequence	compression, coholon, navigator	0 → ker F → X → faces → coker F → 0 exact;  y ∈ im F ⇔ [y] = 0 in coker F ⇔ ∀ω (F*ω = 0 ⇒ ω y = 0)	kernel, image and cokernel of the face map form a short exact sequence, as for every linear map; a face is reached exactly when its cokernel class vanishes, certified by cocycles	any linear face map over a field	L:Compression/Core/FaceMap:exact_sequence; L:Compression/Core/FaceMap:reachable_iff_cokernelClass_zero; L:Compression/Core/FaceMap:reachable_iff_cocycles_vanish; R:holonics::compression::FiniteFaceMap::cokernel; R:holonics::compression::FiniteFaceMap::reachable	proved-standard	uses:compression.cokernel-two-term, uses:compression.fredholm-alternative, dual-of:compression.face-map-kernel
compression.ramp-ledger	compression, navigator, receiver	T(a,b,c) = (a+b, b, c), ρ = a: face after n steps a + n·b;  ker F = ℚ·(0,0,1);  (0,1,0) present-blind, not in ker F;  horizon 3: ker 1, rank 2, faces 4, coker 2;  (0,0,0,1) ∉ im F_3	a released direction, a dormant direction and an unreachable face on one ramp: retention is not injective, present blindness is not release, and the cokernel carries residual	ℚ³, one navigator, one receiver	L:Compression/Core/FaceMap:Ramp.relevanceKernel_eq_span; L:Compression/Core/FaceMap:Ramp.released_pair_one_class; L:Compression/Core/FaceMap:Ramp.dormant_direction_not_released; L:Compression/Core/FaceMap:Ramp.ledger; L:Compression/Core/FaceMap:Ramp.unreachable_face; R:holonics::compression::FiniteFaceMap::ledger	counterexample	instance-of:compression.rank-cokernel-ledger, obstructs:compression.present-blind-not-stable
compression.resonance-split	compression, constitution, parametron	E_λ = ker(k − λc),  d = r + e uniquely with r ∈ E_λ, e ⟂_c E_λ;  c(r,e) = 0;  (k − λc)d = (k − λc)e;  (k − λc)e = 0 ⇔ e = 0;  λc(d,d) − k(d,d) = λc(e,e) − k(e,e)	a drive splits uniquely and c-orthogonally into its resonating part (RIDE) and its emanating part (FOUND); effort and the reactive form see only the emanating part	symmetric k, c; c anisotropic; finite dimension over a field (the reactive identity needs only r ∈ E_λ)	L:Compression/Core/Resonance:modeSpace; L:Compression/Core/Resonance:emanationSpace; L:Compression/Core/Resonance:split_exists_unique; L:Compression/Core/Resonance:split_orthogonal; L:Compression/Core/Resonance:effort_split; L:Compression/Core/Resonance:emanating_effort_eq_zero_iff; L:Compression/Core/Resonance:reactive_split; R:holonics::compression::resonance_split; R:holonics::compression::ResonanceSplit	formal-checked	instance-of:compression.resonate-emanate, uses:constitution.modes
compression.parametron-mode-space	compression, parametron, constitution	⟨u,v⟩_W = Σ_b W_b (Bu)_b (Bv)_b;  ⟨v,v⟩_W = 2 S_W(v);  ⟨u,v⟩_W = Σ_n u_n (B^T W B v)_n;  IsGeneralizedMode K C B λ v ⇔ v ≠ 0 ∧ v ∈ ker(K − λC)	the parametron constitution is a pair of symmetric storage forms whose mode space is exactly the generalized modes with zero	finite nodes and branches, real weights	L:Compression/Core/Resonance:storageForm; L:Compression/Core/Resonance:storageForm_self; L:Compression/Core/Resonance:storageForm_eq_pairing; L:Compression/Core/Resonance:mem_modeSpace_iff_response; L:Compression/Core/Resonance:isGeneralizedMode_iff; R:holonics::compression::ResonanceSplit::mode_space	formal-checked	uses:constitution.modes, uses:parametron.mode-storage-balance
compression.held-motion-balance	compression, parametron, holon	x(t) = cos(ωt) d:  f(t) = C ẍ + K x = cos(ωt)(K − ω²C) d;  E(t) = ω² sin²(ωt) S_C(d) + cos²(ωt) S_K(d);  dE/dt = ⟨f(t), ẋ(t)⟩	holding a motion against the constitution needs the port effort f, and the stored energy changes at exactly its power: work is the time integral of that port power	parametron diagonal constitution, no dissipation	L:Compression/Core/Resonance:holdingEffort; L:Compression/Core/Resonance:holdingEffort_newton; L:Compression/Core/Resonance:modeEnergy_closed; L:Compression/Core/Resonance:hasDerivAt_modeEnergy; R:holonics::compression::ResonanceSplit::effort_amplitude; R:holonics::compression::ResonanceSplit::work	formal-checked	uses:parametron.mode-energy-conserved
compression.ride-free	compression, parametron, constitution	v, δ ∈ ker(K − ω²C), v + δ ≠ 0 ⇒ IsGeneralizedMode(v + δ), E(t) = ω² S_C(v + δ) ∀t, f ≡ 0	driving an existing motion within its eigenspace keeps a mode at the same frequency, conserves its exchange and needs zero effort (RIDE)	parametron diagonal constitution, no dissipation	L:Compression/Core/Resonance:resonant_drive_rides; R:holonics::compression::ResonanceSplit::rides	formal-checked	uses:parametron.mode-energy-conserved, instance-of:compression.resonate-emanate
compression.found-effort-work	compression, parametron, constitution	e ⟂_C ker(K − ω²C), e ≠ 0, S_C > 0 ⇒ ∃n f_n(0) ≠ 0 and f(r+e) = f(e);  held motion x = cos(ωt)(r + e): E(t) − E(0) = sin²(ωt)(ω² S_C(e) − S_K(e));  IsGeneralizedMode v, ω ≠ 0 ⇒ E_v(t) = ω² S_C(v) > 0	the emanating part always needs effort, and the work it exchanges on the held motion is an exact quadratic form of the emanating part alone (FOUND); a mode's energy is positive; no fixed price	parametron diagonal constitution, positive capacitive storage, no dissipation; the work ledger is for the held motion x(t) = cos(ωt)d	L:Compression/Core/Resonance:emanating_drive_needs_effort; L:Compression/Core/Resonance:work_ledger; L:Compression/Core/Resonance:founded_mode_energy_pos; R:holonics::compression::ResonanceSplit::work	formal-checked	instance-of:compression.resonate-emanate, uses:compression.held-motion-balance
compression.clamp-effort-not-work	compression, parametron	chain K = [[2,−1],[−1,2]], C = I: ker(K − 2C) = 0; d = (2,0): f₁(0) = −2, ⟨f(t), ẋ(t)⟩ = 0 ∀t, E ≡ 4;  ω = 1: (2,0) = (1,1) + (1,−1), E(t) − E(0) = −2 sin² t	effort is not work: an emanating drive can need nonzero effort on a node that never moves and exchange no work, while another exchanges −2	Parametron.chainIncidence witness	L:Compression/Core/Resonance:clamp_witness; L:Compression/Core/Resonance:work_witness; R:holonics::compression::ResonanceSplit::work	counterexample	obstructs:compression.resonate-emanate, instance-of:compression.found-effort-work
compression.learning-resonance	compression, deposition, receiver	D(p‖q) = 0 ⇔ p = q;  deposition(p′, q, p′) = −D(p′‖q): = 0 ⇔ q = p′, < 0 ⇔ q ≠ p′	in the learning chart a deposition onto the arrived source is free exactly when the receiver already resonates with it, and otherwise moves cross-entropy by exactly the KL excess	finite strictly positive sections	L:Compression/Core/Resonance:klDivergence_eq_zero_iff; L:Compression/Core/Resonance:deposition_onto_source_zero_iff	formal-checked	uses:aeon.first-law-epoch, uses:xent.decomposition
compression.navigator-codec-causal	compression, navigator	decode(n) = (ρ(Ĝᵏ x₀))_(k<n);  decode(n+1) = decode(n) ++ [ρ(Ĝⁿ x₀)];  take n (decode(n+m)) = decode(n)	a navigator codec releases its material causally, one face per tick of the navigator clock; earlier faces never depend on later ticks	any step, initial configuration and read	L:Compression/Core/Cost:NavigatorCodec; L:Compression/Core/Cost:NavigatorCodec.decode_succ; L:Compression/Core/Cost:NavigatorCodec.decode_take; L:Compression/Core/Cost:CodecPivot; R:holonics::compression::NavigatorCodec; R:holonics::compression::CodecPivot	formal-checked	instance-of:compression.codec-pivot
compression.kt-pays-off	compression, navigator, key	Kt = |code| + ⌈log₂ t⌉ with code = describe(codec) over a declared CodecFamily, t = ticks (one reading per tick);  ℓ = |literalCode m| = ⌈log₂ |A|⌉·n;  pays off :⇔ Kt < ℓ ⇔ |code| + ⌈log₂ n⌉ < |literalCode m|;  two-candidate posterior: π(literal) < π(navigator) ⇔ Kt < ℓ	a compression pays off exactly when its actual code plus the work term is shorter than the literal code; the MDL posterior on the two presentations is the two-candidate instance of its bit-objective order	exact natural-number bits; codes over declared finite families	L:Compression/Core/Cost:CodecPivot.kt; L:Compression/Core/Cost:CodecPivot.kt_eq; L:Compression/Core/Cost:literalBits; L:Compression/Core/Cost:CodecPivot.PaysOff; L:Compression/Core/Cost:CodecPivot.paysOff_iff_code_shorter; L:Compression/Core/Cost:posterior_prefers_iff_pays_off; R:holonics::compression::CompressionCost::pays_off	formal-checked	uses:code.levin-kt, uses:compression.description-code, instance-of:infer.mdl-map-order, instance-of:compression.codec-pivot
compression.alternator-crossover	compression, navigator	one-bit family (4 steps, 2 configurations, 4 reads): descriptionBits = 2 + 1 + 2 = 5;  alternator: step = not, x₀ = false, read = id;  Kt(n) = 5 + ⌈log₂ n⌉ against ℓ = n;  pays off ⇔ n ≥ 10;  on lengths 2^m ⇔ m ≥ 4;  64: 11 < 64;  8: 8 = 8 (breaks even);  4: 7 > 4;  no one-bit navigator regenerates (false, false, true)	a navigator beats the literal exactly from length 10, breaks even at 8 and 9, and material outside the navigator family's image stays literal residual	one-bit maps; one reading per tick	L:Compression/Core/Cost:oneBit_descriptionBits; L:Compression/Core/Cost:alternator_regenerates; L:Compression/Core/Cost:alternator_pays_off_iff; L:Compression/Core/Cost:alternator_pays_off_iff_pow; L:Compression/Core/Cost:alternation_witnesses; L:Compression/Core/Cost:no_one_bit_navigator_regenerates; R:holonics::compression::NavigatorCodec::description; R:holonics::compression::CompressionCost::pays_off	counterexample	instance-of:compression.kt-pays-off
key.consistent-fibre	key, navigator, contact, landmark	closure(k, S) = (⟦(S⁻¹ C S)-word of ℓ closes at a_ℓ⟧)_(ℓ ∈ menu);  consistent = closure⁻¹(closure(truth)) ∋ truth;  observed menu ⇒ consistent = {(k, S) | ∀ℓ, (stages_k ℓ).prod (S a_ℓ) = S a_ℓ}	the keys consistent with a menu are the fibre of the loop-closure map, which is exactly the Bombe's test set at the boundary images, and it keeps the true key	permutation stage words; menu of observed closed loops	L:Compression/Core/Keys:Loop.Closes; L:Compression/Core/Keys:Loop.closes_iff; L:Compression/Core/Keys:closureMap; L:Compression/Core/Keys:fibre; L:Compression/Core/Keys:truth_mem_fibre; L:Compression/Core/Keys:fibre_eq_bombe; R:holonics::compression::Loop::closes; R:holonics::compression::Menu::fibre; R:holonics::compression::PortImages	definition	uses:key.menu-loop-closure, instance-of:key.every-action-is-a-key
key.pruning	key, compression	fibre(ℓ :: M) = fibre(M) ∩ {x | closes_ℓ x ⇔ closes_ℓ truth};  fibre(E ++ M) ⊆ fibre(M);  S = S′ on every port ⇒ ((k,S) ∈ fibre ⇔ (k,S′) ∈ fibre)	adding a loop can only shrink the fibre of consistent keys (pruning is compression), and the Bombe reads the boundary map only at the menu ports	permutation stage words	L:Compression/Core/Keys:fibre_cons; L:Compression/Core/Keys:fibre_append_subset; L:Compression/Core/Keys:fibre_depends_only_on_port_images; R:holonics::compression::Menu::extended; R:holonics::compression::Menu::candidates	formal-checked	uses:key.consistent-fibre
key.reflector-machine	key, parametron, navigator	ports Fin 3, stage R_m = ρ^(−m) F ρ^m, F = swap 0 1: loop at a closes ⇔ S a = 2 − (k + i);  R_(m+1) = ρ⁻¹ R_m ρ, so (k, S) ↦ (k + 1, ρ⁻¹S) is a gauge;  candidates 18 → 6 → 3;  (0, swap 0 1) refuted by the second loop;  two loops: fibre = the gauge orbit of (0, 1);  one loop: (0, swap 0 1) survives off that orbit;  S = 1 ⇒ k = 0	loop closure prunes strictly yet locates the key only up to a gauge; with the boundary pinned at each key the survivors are one gauge orbit, and unpinned they are not	three-port reflector machine	L:Compression/Core/Keys:Machine.loopAt_closes_iff; L:Compression/Core/Keys:Machine.stage_succ; L:Compression/Core/Keys:Machine.rotorGauge; L:Compression/Core/Keys:Machine.pruning_counts; L:Compression/Core/Keys:Machine.second_loop_refutes; L:Compression/Core/Keys:Machine.plural_fibre; L:Compression/Core/Keys:Machine.gauge_invariant; L:Compression/Core/Keys:Machine.two_loop_fibre_is_one_orbit; L:Compression/Core/Keys:Machine.one_loop_fibre_is_not_one_orbit; L:Compression/Core/Keys:Machine.known_boundary_locates_key; R:holonics::compression::ReflectorMachine; R:holonics::compression::ReflectorMachine::gauge	counterexample	instance-of:key.gauge-orbit, instance-of:key.pruning, uses:key.enigma-reading
landmark.site-traceless-square	navigator, landmark	(M − (tr M/2)·1)² = ((tr M)² − 4 det M)/4 · 1;  kind(a, q): q < 0 reflection, q = 0 degenerate; q > 0: a² < 4q rotation, a² = 4q null, a² > 4q boost;  rotation ⇔ x² − axy + qy² definite ⇔ (q > 0) 1 − aT + qT² has no real root;  null ⇔ q > 0 ∧ (M − (tr M/2)·1)² = 0;  companion(a, q) − (a/2)·1 ≠ 0	a site's traceless part squares to a quarter of its discriminant; for a positive determinant rotation, null lock and boost are the three signs of that scalar, a null companion site is a shear, and determinants of other signs are reflections or degenerate	2×2 material over an ordered field; the three kinds need q > 0	L:Compression/Landmark/SiteKind:traceless_sq; L:Compression/Landmark/SiteKind:siteKind; L:Compression/Landmark/SiteKind:siteKind_eq_rotation_iff; L:Compression/Landmark/SiteKind:siteKind_eq_null_iff; L:Compression/Landmark/SiteKind:siteKind_eq_boost_iff; L:Compression/Landmark/SiteKind:siteKind_eq_reflection_iff; L:Compression/Landmark/SiteKind:siteKind_eq_degenerate_iff; L:Compression/Landmark/SiteKind:rotation_iff_definite; L:Compression/Landmark/SiteKind:rotation_iff_no_real_root; L:Compression/Landmark/SiteKind:disc_zero_iff_traceless_nilpotent; L:Compression/Landmark/SiteKind:null_iff_traceless_nilpotent; L:Compression/Landmark/SiteKind:companion_traceless_ne_zero; R:holonics::compression::landmark::site::traceless_square; R:holonics::navigator::trace::SiteFactor::kind; R:holonics::navigator::trace::SiteKind	formal-checked	specializes:trace.site-classification, uses:trace.local-factor-companion
landmark.boost-doppler	navigator, landmark, ratio	det M = 1, tr M > 2 ⇒ ∃ k > 1: tr M = k + k⁻¹, det(k·1 − M) = 0, γ = tr/2, γβ = (k − k⁻¹)/2, γ² − (γβ)² = 1, (γβ)² = (tr² − 4)/4;  unitBoost((k − k⁻¹)/(k + k⁻¹), tr/2) preserves ⟪P,P⟫;  companion(10/3, 1): k = 3, (γ, β) = (5/3, 4/5)	a boost site of determinant one carries a real Doppler ratio, an eigenvalue, whose Lorentz factor is half the trace, and the site acts as the Lorentz boost	ℝ; a rational k gives a rational boost with no logarithm	L:Compression/Landmark/SiteKind:boost_doppler_ratio; L:Compression/Landmark/SiteKind:boost_site_is_a_lorentz_boost; L:Compression/Landmark/SiteKind:rational_doppler_three; R:holonics::compression::landmark::DopplerRatio; R:holonics::compression::landmark::lorentz_factor_squared	formal-checked	specializes:trace.site-classification, uses:lorentz.boost-scale, uses:trace.circular-or-hyperbolic
landmark.cat-map-irrational-doppler	navigator, landmark	[[2,1],[1,1]]: tr 3, det 1, boost, γ = 3/2, (γβ)² = γ² − 1 = 5/4;  ¬∃ r ∈ ℚ, r² = 5/4	a boost's Doppler ratio is rational only when (tr² − 4)/4 is a rational square; the cat map's ratio φ² is a quadratic constraint identity		L:Compression/Landmark/SiteKind:catMap_boost; R:holonics::compression::landmark::DopplerRatio; R:holonics::compression::landmark::QuadraticSurd	counterexample	instance-of:landmark.boost-doppler, uses:trace.boost-torus-entropy
landmark.site-kind-conserved	navigator, landmark	kind(tr S⁻ᵈPSᵈ, det S⁻ᵈPSᵈ) = kind(tr P, det P);  kind(companion a q) = kind(a, q);  kind(−a, q) = kind(a, q);  I₂ and [[1,1],[0,1]] are both null	phase carriage conserves the site kind; the kind is a class function of the site, not an action certificate	invertible carriers	L:Compression/Landmark/SiteKind:carried_site_kind; L:Compression/Landmark/SiteKind:companion_siteKind; L:Compression/Landmark/SiteKind:siteKind_neg; L:Compression/Landmark/SiteKind:identity_and_shear_are_both_null; R:holonics::navigator::trace::SiteFactor::kind	formal-checked	uses:trace.phase-carriage-conserves-faces, uses:trace.faces-not-certificate
landmark.boost-entropy-rapidity	navigator, landmark, cycle	a ∈ ℤ, q = 1, t_n = tr(Mⁿ) = trace(a, 1, n):  (∀n, |t_n| ≤ 2) ⇔ a² ≤ 4;  a² > 4 ⇒ n + 2 ≤ |t_n|;  k + k⁻¹ = a ⇒ t_n = kⁿ + k⁻ⁿ;  k ≥ 1 ⇒ kⁿ ≤ t_n ≤ 2kⁿ and (1/n) log t_n → log k;  det(Mⁿ − 1) = 2 − t_n;  k > 1 ⇒ (1/n) log |t_n − 2| → log k	the trace counts stay bounded exactly for rotation and null sites and grow at exactly the rapidity log k for boosts: for a nonnegative adjacency t_n counts closed walks and log k is the graph entropy; on the torus the periodic-point count is |det(Mⁿ − 1)| = |t_n − 2| (Lefschetz reading, not formalized), with the same rate	determinant-one integer sites	L:Compression/Landmark/SiteKind:bounded_iff_not_boost; L:Compression/Landmark/SiteKind:boost_counts_grow; L:Compression/Landmark/SiteKind:boost_counts_grow_pos; L:Compression/Landmark/SiteKind:boost_counts_are_doppler_powers; L:Compression/Landmark/SiteKind:boost_counts_sandwich; L:Compression/Landmark/SiteKind:boost_count_rate; L:Compression/Landmark/SiteKind:trace_pow_eq; L:Compression/Landmark/SiteKind:det_pow_sub_one; L:Compression/Landmark/SiteKind:torus_count_rate; L:Compression/Landmark/SiteKind:trace_neg; R:holonics::compression::landmark::DopplerRatio::power; R:holonics::compression::landmark::torus_fixed_points; R:holonics::navigator::trace::SiteFactor::trace_sequence	formal-checked	specializes:trace.boost-torus-entropy, uses:trace.sequence-recurrence
landmark.hasse-site-rotation	navigator, landmark	p prime, a ∈ ℤ, a² ≤ 4p ⇒ a² < 4p ⇒ kind(a, p) = rotation;  rotation (a, q ∈ ℤ) ⇒ 1 − aT + qT² = (1 − αT)(1 − ᾱT), |α|² = q	a Hasse site never sits on the null cone, since equality would make p a square; it splits through the Weil root	p prime	L:Compression/Landmark/SiteKind:hasse_site_is_rotation; L:Compression/Landmark/SiteKind:rotation_splits_through_weil_root; R:holonics::navigator::trace::SiteFactor::kind	formal-checked	generalizes:trace.hasse-strict-at-two, uses:trace.weil-root-split, uses:trace.hasse-bound
landmark.mobius-fixed-points	navigator, landmark, ratio	m(z) = (az + b)/(cz + d);  a z₁ + b = z₁(c z₁ + d) ⇒ (az + b) − z₁(cz + d) = (a − c z₁)(z − z₁);  z₁ ≠ z₂ fixed ⇒ every fixed z ∈ {z₁, z₂} or (b = c = 0, a = d);  μ_i = c z_i + d: μ₁ + μ₂ = tr, μ₁μ₂ = det, tr² − 4 det = (μ₁ − μ₂)²;  c ≠ 0, z₁ ≠ z₂ ⇒ tr² − 4 det > 0; with det > 0 a boost site;  w = (z − z₁)/(z − z₂): w(mz) = (μ₂/μ₁) w(z)	a Möbius navigator has at most two fixed points, whose multipliers are its eigenvalues; two distinct fixed points force a positive discriminant, a boost only at positive determinant; in the fixed-point chart it is a scaling	field; undivided fixed points; poles excluded	L:Compression/Landmark/FixedPoint:Mobius.act_eq_blockTransport; L:Compression/Landmark/FixedPoint:Mobius.sub_fixed; L:Compression/Landmark/FixedPoint:Mobius.act_sub_fixed; L:Compression/Landmark/FixedPoint:Mobius.fixed_points_at_most_two; L:Compression/Landmark/FixedPoint:Mobius.multipliers_sum; L:Compression/Landmark/FixedPoint:Mobius.multipliers_prod; L:Compression/Landmark/FixedPoint:Mobius.discriminant_eq_sq; L:Compression/Landmark/FixedPoint:Mobius.chart_conjugates; L:Compression/Landmark/FixedPoint:Mobius.two_fixed_points_is_boost; R:holonics::compression::landmark::MobiusNavigator::fixed_points; R:holonics::compression::landmark::MobiusNavigator::chart	formal-checked	uses:landmark.site-traceless-square, uses:frame.cross-ratio-undivided
landmark.attracting-repelling	navigator, landmark, swing	c ≠ 0, z₁ ≠ z₂ fixed, μ_i = c z_i + d:  (|μ₂/μ₁| < 1 ∨ |μ₁/μ₂| < 1) ⇔ tr ≠ 0;  |μ₂| < |μ₁|, z ≠ z₂, cmⁿz + d ≠ 0 ∀n ⇒ mⁿz → z₁;  (z + 2)/(2z + 1): det = −3, multipliers −1/3 at 1 and −3 at −1, z ≥ 0 ⇒ mⁿz → 1;  Swing z ↦ 1/z: tr = 0, det = −1, multiplier −1 at both, involution	one fixed point attracts and the other repels exactly when the trace is not zero, whatever the determinant's sign, and every path off the pole converges to the attracting one; tr = 0 is neutral	ordered field (classification); Archimedean ordered field with its order topology (convergence)	L:Compression/Landmark/FixedPoint:Mobius.attracting_iff_trace_ne_zero; L:Compression/Landmark/FixedPoint:Mobius.act_ne_fixed; L:Compression/Landmark/FixedPoint:Mobius.iterate_tendsto_fixed; L:Compression/Landmark/FixedPoint:reflection_attracts; L:Compression/Landmark/FixedPoint:swing_neither_attracts; R:holonics::compression::landmark::MobiusNavigator::attraction	formal-checked	uses:landmark.mobius-fixed-points, uses:swing.harmonic-conjugation
landmark.c-velocity-addition	landmark, navigator, ratio	u ⊕ v = (u + v)/(1 + uv) = [[1, v],[v, 1]]: tr 2, det 1 − v², boost, tr²/(4 det) = 1/(1 − v²) = γ²;  u ⊕ 1 = 1, u ⊕ −1 = −1;  D(u) = (1 + u)/(1 − u): D(u ⊕ v) = D(u)D(v), |u ⊕ v| < 1;  1 − (⊕v)ⁿu = 2/(D(u)D(v)ⁿ + 1);  0 < v < 1 ⇒ (⊕v)ⁿu → 1;  −1 < v < 0 ⇒ (⊕v)ⁿu → −1;  ⊕_c v u = (u + v)/(1 + uv/c²) = c·((v/c) ⊕ (u/c)) fixes ±c;  c > 0: 0 < v < c, |u| < c ⇒ (⊕_c v)ⁿu → c;  −c < v < 0 ⇒ → −c	velocity addition is a boost navigator whose projective trace face is the Lorentz factor; it multiplies Doppler ratios, and the iterates of one boost converge to ±c, the landmark of the boost family	|u|, |v| < c, rational c > 0; iterates of one fixed boost; exact over ℚ	L:Compression/Landmark/FixedPoint:velocity_act; L:Compression/Landmark/FixedPoint:velocity_is_boost; L:Compression/Landmark/FixedPoint:vadd_fixes_one; L:Compression/Landmark/FixedPoint:vadd_fixes_neg_one; L:Compression/Landmark/FixedPoint:doppler_vadd; L:Compression/Landmark/FixedPoint:vadd_mem; L:Compression/Landmark/FixedPoint:iterate_doppler; L:Compression/Landmark/FixedPoint:one_sub_iterate; L:Compression/Landmark/FixedPoint:vadd_iterate_tendsto_one; L:Compression/Landmark/FixedPoint:vadd_iterate_tendsto_neg_one; L:Compression/Landmark/FixedPoint:vaddC_fixes; L:Compression/Landmark/FixedPoint:vaddC_iterate; L:Compression/Landmark/FixedPoint:vaddC_iterate_tendsto_c; L:Compression/Landmark/FixedPoint:vaddC_iterate_tendsto_neg_c; R:holonics::compression::landmark::velocity_addition; R:holonics::compression::landmark::doppler_chart	formal-checked	instance-of:landmark.attracting-repelling, uses:lorentz.velocity-cone, uses:lorentz.boost-scale
